sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Get Status,30,535,166,9672,1697.4468818395073,0.0,1.859427296392711,109.67739904859303,60400.13333333333
TOTAL,30,535,166,9672,1697.4468818395073,0.0,1.859427296392711,109.67739904859303,60400.13333333333
